customer_need_gap,customers,churned,churn_rate,avg_monthly_charges,churn_rate_pct
Backup Need,243,26,0.10699588477366255,79.33600823045268,10.699588477366255
"Backup Need, Device Protection Need",167,26,0.15568862275449102,65.90179640718563,15.568862275449103
Device Protection Need,219,22,0.1004566210045662,75.44657534246575,10.045662100456621
No Major Gap,470,25,0.05319148936170213,90.91851063829786,5.319148936170213
Security Need,256,39,0.15234375,90.42890625,15.234375
"Security Need, Backup Need",240,57,0.2375,80.54583333333333,23.75
"Security Need, Backup Need, Device Protection Need",242,75,0.30991735537190085,69.21404958677685,30.991735537190085
"Security Need, Device Protection Need",207,40,0.1932367149758454,77.97512077294687,19.32367149758454
"Security Need, Support Need",369,129,0.34959349593495936,89.1951219512195,34.959349593495936
"Security Need, Support Need, Backup Need",446,207,0.4641255605381166,79.5512331838565,46.41255605381166
"Security Need, Support Need, Backup Need, Device Protection Need",2793,831,0.2975295381310419,42.26190476190476,29.752953813104188
"Security Need, Support Need, Device Protection Need",471,196,0.416135881104034,74.6059447983015,41.6135881104034
Support Need,223,30,0.13452914798206278,85.13946188340806,13.452914798206278
"Support Need, Backup Need",175,32,0.18285714285714286,77.53942857142857,18.285714285714285
"Support Need, Backup Need, Device Protection Need",308,92,0.2987012987012987,67.72597402597403,29.87012987012987
"Support Need, Device Protection Need",214,42,0.19626168224299065,75.80163551401868,19.626168224299064
